ward,गवनि,पथ,पाणीपुरवठा,भवन,मलनिःसारण,विद्युत,Total Result
1,,35,,,5,16,56
2,,15,,15,15,5,50
3,5,15,10,10,10,,50
4,5,15,,5,15,10,50
5,,15,,,5,10,30
6,15,5,,4,16,10,50
7,,12,13,,25,,50
8,5,26,,17,,2,50
9,5,25,,13,,7,50
10,5,10,5,20,5,5,50
11,5,20,,10,10,5,50
12,10,17,,4,14,5,50
13,10,10,,5,20,5,50
14,20,,,15,5,5,45
15,5,15,,15,15,5,55
16,5,20,,,15,7,47
17,,20,10,,15,5,50
18,,25,,15,10,,50
19,,15,,10,20,5,50
20,8,20,,2,15,5,50
21,7,10,,10,15,8,50
22,23,5,5,15,,2,50
23,7.25,10.5,4,11.25,17,,50
24,10,,,,35,5,50
25,7,7,,12,22,2,50
26,8,16,,3,13,10,50
27,,15,,6,19,10,50
28,,10,,20,10,10,50
29,,20,,5,15,10,50
30,,30,,5,10,5,50
31,,10,,10,20,10,50
32,10,10,,5,15,10,50
33,,35,,,5,10,50
34,,18,,,20,12,50
35,,28,,5,,17,50
36,,28,,,7,15,50
37,3,12,,24,,11,50
38,,22,5,10,10,3,50
39,4,21,4,3,10,8,50
40,10,25,,5,,10,50
41,,20,7,9,8,6,50
42,20,10,,15,,5,50
43,,20,,15,15,,50
44,,15,,5,10,20,50
45,,20,5,,,25,50
46,9,24,4,5,5,3,50
47,19,,,5,22,4,50
48,3,13,5,8,18,3,50
49,5,25,10,5,5,,50
50,,30,,5,15,,50
51,,13,,10,22,5,50
52,11,6,2,5,12,14,50
53,5,25,,2,8,10,50
54,,35,,,,15,50
55,,30,,15,,5,50
56,25,,10,,10,5,50
57,5,20,,,25,,50
58,,25,,,15,10,50
59,10,8,3,5,15,9,50
60,10,15,,3,18,4,50
61,4,39,,,5,2,50
62,,30,,,10,10,50
63,,27,,2,14,7,50
64,5,20,,20,,5,50
65,30,,3,,10,7,50
66,,22,,2,,,24
67,6.5,25,,3,15.5,,50
68,,24.5,,,25.5,,50
69,6,22,,19,,3,50
70,,25,,10,10,5,50
71,,10,5,15,20,,50
72,5,15,,20,10,,50
73,,16,,9,18,7,50
74,,23,,5,4,18,50
75,,24,,10,,16,50
76,,28,5,5,5,7,50
Y W,,9,,7,9,5,30
Total Result,370.75,1381,115,548.25,857,515,3787
